rid,DOS029_VCAP_24H:BRD-K64968742-001-01-7:5,DOS033_A375_24H:BRD-K64968742-001-01-7:5,DOS033_A549_24H:BRD-K64968742-001-01-7:5,DOS033_HT29_24H:BRD-K64968742-001-01-7:5,DOS033_MCF7_24H:BRD-K64968742-001-01-7:5,DOS033_PC3_24H:BRD-K64968742-001-01-7:5
6709,0.657250165939,-0.2649333179,0.875847101212,0.0338471233845,0.796600043774,0.159953400493
1277,0.461058020592,0.247099995613,-0.726359784603,-0.137815207243,0.392233371735,-0.13786137104
993,0.365237236023,0.561399936676,1.60996174812,0.30761295557,-0.000200003385544,-0.827593445778
7157,0.196514382958,-0.0400666669011,0.583233833313,1.27613306046,1.02429997921,-0.981781601906
1958,-1.38002955914,0.693933367729,-2.93663072586,0.826377809048,-0.698733389378,0.652824521065
4582,0.34603703022,0.442933320999,-1.27842664719,0.434875130653,0.244600012898,-0.215334162116
9212,0.436735033989,0.94616663456,0.292400121689,-0.33905506134,-0.110299997032,0.930994927883
8440,0.521512210369,1.05976676941,0.275465995073,0.331595778465,0.0744000002742,-0.363448828459
6790,1.28673267365,0.49676668644,0.929673492908,1.83584070206,-0.11390003562,-3.99539518356
8851,0.537697136402,0.0887333452702,0.147481590509,-0.419512689114,-0.21819999814,0.696602642536
2534,0.151867881417,0.0520666241646,0.221957713366,1.68268322945,0.179433360696,-0.040240585804
4893,0.640248179436,-0.566066682339,-1.06229293346,-0.16133518517,0.37650001049,0.061994895339
665,1.12047863007,-0.325866669416,0.814463436604,0.341544061899,0.207800000906,0.593646287918
4313,-0.315279126167,0.644966721535,-0.0363376513124,-0.226584121585,0.23993332684,1.89170885086
1022,-0.834814190865,-1.13813340664,0.756950497627,-0.156873375177,0.165400028229,0.788055241108
5880,-0.384676277637,0.517033338547,-1.38411080837,0.488547533751,-0.258000016212,0.774085342884
3162,-0.141865134239,0.158600002527,0.0351015329361,-0.259251087904,0.40736669302,-0.535278558731
1282,1.0474473238,-0.0343666672707,-0.460624843836,-0.728657960892,-0.090066678822,1.22216033936
3383,-0.238325968385,0.726400017738,-0.294742435217,-0.00872406363487,-0.200500011444,0.594488918781
727,1.76715016365,-0.397133350372,-0.804615259171,-0.249308645725,0.178233340383,0.446815431118
4792,-0.111892744899,-0.203233331442,0.842917978764,-1.03703951836,0.317366689444,0.451211392879
4794,0.395219326019,1.51960003376,-0.992042601109,-0.912060379982,0.262233346701,-0.509071111679
902,1.37738871574,0.517433345318,-1.04834067822,-1.00402545929,-0.378166675568,0.507573664188
8091,0.151121601462,0.834566712379,0.45951923728,0.0976532921195,-0.249066650867,-1.42233657837
3486,-0.470747232437,0.340100049973,0.281231015921,0.210123091936,0.217466667295,-0.435590445995
10818,0.701992332935,0.541333317757,-0.669634342194,-0.661294579506,-0.322266638279,1.43899273872
3454,0.697599053383,0.149500012398,0.0149070266634,-0.623967766762,0.0431666821241,1.71462512016
4282,-2.54086375237,0.000866666669026,0.0,0.000453290238511,0.224833339453,0.529813826084
1605,-1.52107656002,0.311666667461,-0.926800608635,1.01018536091,-0.315266668797,-0.689197182655
10644,2.8757917881,0.233633339405,0.227675408125,0.3470479846,1.11656665802,-0.36218687892
2065,-0.19403834641,0.957200050354,-1.00188934803,-0.186907827854,0.206399992108,-0.682089805603
8321,0.303202748299,2.08776664734,0.230116814375,-0.257050901651,-0.212933331728,1.1027443409
8503,0.938395142555,0.466733336449,-0.471865803003,-1.78780519962,-0.232433333993,0.74475300312
7027,-0.314394831657,0.159066677094,-0.144152134657,-0.14639043808,0.535033345222,-0.14901304245
6850,0.32739263773,-0.0409666597843,-0.792003810406,-0.991594851017,0.749333381653,0.29743745923
1978,-0.343424260616,0.636499941349,0.370780199766,1.13370072842,0.00276665389538,-0.681717395782
896,0.712509155273,0.533633351326,0.667801499367,0.53254878521,0.25626668334,0.152329713106
5777,1.03780639172,0.164333343506,-0.660306572914,0.20703664422,-0.0662000179291,0.592883646488
1846,3.19702124596,1.02789998055,0.640671908855,-0.496089190245,-1.05756664276,-0.643694937229
5925,1.68416595459,0.476233333349,0.103884555399,-1.31319355965,-0.38926666975,1.04221332073
142,0.197657555342,-0.702100098133,0.440777629614,0.843317627907,0.433566689491,-0.314214289188
1021,-0.149662256241,0.681533336639,0.172992631793,0.525599360466,-0.422800004482,0.677206814289
5699,2.77506279945,-0.129833325744,0.747451782227,0.433799088001,0.203333318233,-0.360252737999
8061,1.49963593483,0.108066663146,0.31880620122,0.227095976472,0.0783999934793,-1.01902139187
1870,-0.542271673679,0.471699982882,-0.261490464211,-0.206848964095,3.14673352242,0.00341090559959
1398,0.27005469799,0.549733400345,0.614390850067,0.614049077034,0.239033341408,-0.01160338521
3312,0.709677994251,-0.0149999558926,0.521476268768,0.413562178612,-0.790300011635,0.59573996067
891,-0.317172050476,-4.05073356628,0.258846879005,-2.86709451675,-0.0652333348989,0.880174458027
4775,-0.100175768137,0.882766664028,-0.570776462555,-0.472739577293,-0.857500016689,-0.0497652888298
5111,-0.432202398777,-3.46606683731,-0.00039312033914,-0.835588812828,-0.780766665936,-0.62529873848
5696,1.15833377838,0.232833325863,0.74668943882,0.649318695068,0.384300023317,0.0689211338758
5588,0.60704600811,1.05256676674,-0.586854934692,-0.262580126524,0.222966685891,1.6457233429
6839,-0.146385639906,0.868766665459,0.0207856446505,-0.0348962657154,-0.480133354664,-0.82291251421
329,0.204445809126,0.361066699028,1.48627829552,0.516397595406,0.0539333373308,1.68156886101
5058,-0.415742784739,3.03836679459,0.172087550163,-0.301438808441,0.320033371449,-0.011864811182
998,-1.62420368195,-0.165033340454,-0.8666472435,0.202056854963,0.762299954891,0.53506320715
9134,-0.483898699284,0.428099989891,1.16220355034,-0.321836471558,-1.59603333473,-1.50594544411
6616,-1.27304637432,0.514100015163,-0.478095978498,-0.82594949007,0.220966666937,0.478658080101
5223,-0.371952950954,-2.86616683006,-0.616631865501,0.362560153008,-0.0479666814208,-0.271623253822
4690,-4.93753910065,0.334866702557,-0.610427498817,0.374388337135,0.424433290958,0.233555570245
958,0.255057930946,0.51289999485,-0.128097936511,-0.98118185997,-0.0827666372061,1.46140384674
1616,-0.611387789249,-0.163400024176,-0.157019987702,0.83944696188,-0.398033320904,2.66132187843
991,-0.393140971661,-3.58010005951,0.634106457233,0.945422410965,0.745466709137,-1.02503371239
6347,0.728135764599,-0.000433325767517,0.0958249941468,-0.307562947273,0.558200001717,1.69079291821
6714,-0.216918647289,-1.17553329468,-0.519115507603,0.305956751108,0.688533365726,-0.458958029747
652,-0.00203907489777,0.193599998951,0.601148426533,-0.0626168549061,-0.495133340359,1.51627516747
4331,0.5489757061,0.838733315468,1.15769374371,0.846449017525,0.386233359575,-0.104615047574
7099,-0.595672905445,1.0150001049,0.599281430244,-0.944748580456,0.816433310509,2.11204147339
10320,0.278334975243,-0.384266734123,-1.16106283665,-0.204952374101,0.0827999711037,-1.21844863892
2042,-0.156181663275,6.72086715698,1.23299920559,-0.268355458975,-0.488733351231,-0.0580062493682
843,1.04744374752,0.103733330965,-0.000253945589066,-0.774236917496,-0.420366674662,1.25417685509
840,0.619460761547,-0.341233342886,0.211640805006,0.33305683732,-0.26983332634,-1.59780287743
7048,-0.167736694217,0.501766681671,-1.0791529417,-0.221782028675,0.069233328104,-0.535120308399
4851,0.847563028336,0.23996669054,0.557705521584,0.427546918392,0.448766678572,1.62993144989
6464,0.571441233158,0.148400008678,-0.195660069585,-0.919469356537,-0.195333346725,0.615172386169
23410,0.148351565003,0.88193333149,-0.692836761475,-0.10023380816,0.128766655922,0.355176687241
54205,0.181020334363,-0.3940333426,-5.28157901764,0.844364702702,-1.06710004807,-0.388902902603
2770,0.616200745106,4.48640060425,-0.544855833054,0.652527809143,-0.535133361816,-0.724871575832
80204,-0.0872704684734,0.163966685534,0.184657916427,-0.358029276133,0.644633352757,1.36219906807
4208,-0.195229411125,-0.0904333293438,-0.506484389305,0.560241281986,0.321333348751,-0.34238755703
1845,0.491571635008,-0.659500002861,-0.149848550558,3.61157441139,1.10086667538,-0.145141303539
23368,0.438171058893,0.568833351135,0.786662101746,-0.96625161171,0.0327999889851,1.41121613979
5583,-0.33716583252,-0.0899666771293,0.645088851452,-0.170918956399,0.242599993944,1.57813727856
8900,2.46960330009,1.59956669807,-0.12653888762,-0.258676230907,0.368800014257,-0.728469669819
581,0.069307461381,0.187433362007,-0.984673380852,0.2166428864,-1.75346684456,-0.964546918869
6193,-2.03966140747,-0.377333343029,-1.26443862915,0.445120066404,-0.0287333354354,-4.93661737442
6622,-0.619861602783,0.18006670475,-0.976444721222,0.371905326843,-0.343133330345,-0.310456901789
11261,-0.68547809124,-0.44319999218,-0.250132292509,-0.380493104458,-0.205433338881,-0.0436927825212
6696,-0.373781681061,0.773766696453,-0.0265287682414,0.474441945553,-0.299800008535,0.906368494034
8312,0.675556302071,-0.51773327589,-0.294076353312,-0.00413975119591,1.08323335648,1.18296289444
835,-0.244083702564,0.139699995518,-0.0665891468525,0.156062111259,0.262833356857,-1.00600337982
8324,-0.690576910973,-0.609466671944,-0.414577245712,0.278471082449,-0.0770333409309,-0.875001251698
1848,-1.83783948421,1.47653341293,0.132962882519,-0.474408686161,0.60826665163,-2.302526474
154,1.77426958084,-0.687299966812,-1.25694012642,-0.211595833302,0.392499983311,-0.176791995764
4312,0.991794466972,-0.219833314419,0.297927320004,-0.0136597752571,1.72136664391,0.0954417586327
994,0.472156763077,-4.23930025101,0.586348712444,0.445725858212,0.109233349562,-1.17486047745
2048,-0.290947824717,-0.361499994993,-0.365527570248,-1.49163794518,0.354933351278,-0.0315389931202
1111,1.12415468693,0.101400002837,0.164066702127,-0.764951467514,-0.68006670475,-0.381583660841
5154,1.01735568047,-0.855100035667,0.216381415725,1.42001318932,-0.170700013638,0.580010712147
2920,0.926067352295,3.17816662788,2.97488451004,-0.026073269546,1.21993327141,-0.446863770485
3122,-0.728012681007,-0.270399957895,-0.867834687233,-0.567415833473,-0.346766650677,0.436868607998
2769,2.17507266998,0.660266697407,-0.152592286468,-0.958849787712,0.296866625547,0.564836323261
5900,0.366954952478,-0.619766712189,1.0359095335,-0.0187415257096,0.564433336258,-0.301901638508
6304,-0.462218374014,0.446733295918,2.5942735672,1.00770175457,2.7842001915,-1.40033400059
5211,0.0309000313282,-0.511633336544,-0.570449590683,1.04104924202,-0.297066688538,-0.170176774263
2886,0.842421650887,0.582799971104,-0.690100133419,-0.287900716066,1.26590013504,0.584771573544
9261,-0.201267927885,-1.17366671562,0.971506595612,-0.350880265236,0.031399987638,1.06652891636
8569,0.190740540624,0.67596668005,0.606059193611,-0.804109215736,0.298066675663,-0.996039867401
3303,-0.619288802147,1.13709998131,1.25538396835,-0.106711626053,1.17656672001,-1.07726430893
5331,0.464689075947,0.665766716003,0.242179185152,-0.243845582008,-0.0644999742508,-0.278591781855
5347,0.463275909424,-0.118833340704,1.02540409565,0.754483342171,0.488033354282,0.00551857613027
4638,0.514719247818,0.913600087166,5.99031209946,0.555967569351,-0.129000008106,-0.906683683395
2264,-0.449675619602,-0.120866656303,0.647573769093,1.01031112671,1.2406001091,0.874852359295
1029,0.619772911072,3.20106673241,-1.02095735073,0.85635137558,0.819666743279,0.921899974346
1027,0.610857963562,0.923166692257,0.261318087578,0.898282170296,0.395100027323,1.05008471012
2597,0.540581762791,-0.0565333217382,0.136998608708,-0.674682021141,-1.67436671257,-0.166887074709
55847,0.889525294304,-0.196000009775,0.418854117393,0.122487038374,-0.444666683674,-1.28985476494
25803,0.565734148026,0.165566682816,-0.511399507523,0.0507600754499,1.2678334713,0.627321541309
3480,0.513606250286,-0.0532999932766,-0.21997359395,1.54446125031,0.799233317375,0.260779261589
2946,0.739738047123,0.617933392525,0.386975884438,0.0606239363551,-0.0363000035286,0.789124548435
9517,2.22733187675,0.809366703033,-0.266884982586,0.145357698202,0.634999990463,-0.125112175941
25987,0.0797777473927,-0.00103333592415,0.464092165232,1.50195944309,0.00843332707882,-0.169740349054
23670,0.753804206848,0.689199984074,0.671285569668,0.305718183517,-0.581500053406,0.163154140115
11182,-1.02129006386,-0.172833353281,0.233495622873,-0.795727610588,-0.518533229828,-1.41002213955
2146,-0.0524224862456,-0.218666687608,0.651359319687,0.0549429953098,-1.89800000191,-0.51649081707
3385,0.236430943012,0.564966678619,0.175224304199,1.25600361824,-0.050600014627,2.3010840416
5261,0.530418515205,0.717133402824,-0.04055146873,-0.653459429741,0.549100041389,0.695141255856
10765,-0.014917679131,1.08863341808,-0.0842598155141,-0.634176969528,0.453833341599,1.36836957932
25839,-0.0614022910595,-1.38503336906,0.0489209964871,0.839391410351,-0.557333409786,-1.19419872761
4172,-0.711433172226,0.17093333602,-0.099074408412,-0.176260218024,0.130033314228,0.174850329757
23161,-0.118292070925,-0.0407333374023,-0.0261299163103,-0.373404324055,0.418166667223,1.01670730114
10298,-0.139663249254,-0.303666681051,-0.499582409859,-0.226371780038,0.394066661596,0.465426653624
