rid,DOS007_VCAP_24H:BRD-K46033477-001-01-4:5.1
55556,0.38373708725
3978,-0.31288716197
10681,0.215691938996
3638,-0.0696297585964
8349,0.62422645092
6275,-0.131801605225
3895,-0.406317710876
392,0.153861388564
9170,-0.096940740943
80347,0.177571728826
23300,-0.00717058777809
836,1.66485738754
11188,0.556529760361
10898,-0.177068710327
9276,-0.153438478708
1647,0.100614905357
10285,0.888417065144
23386,-0.165311157703
3156,0.389867722988
10237,-0.250800639391
7077,-0.357821047306
11157,0.763878583908
22908,-0.185016706586
10915,-0.0519523322582
9897,0.0875863134861
1759,0.118105947971
54541,0.201940000057
211,-0.642247974873
5048,0.502419710159
84722,-0.0135121569037
29890,0.0927216410637
9868,-0.34850075841
873,0.034300327301
5580,-0.0319081991911
3725,-0.61296671629
23585,-0.163040682673
51097,-0.510357022285
1831,-0.756789028645
7020,0.20526368916
55893,-0.0232083797455
6944,-0.0674119591713
22883,-0.389898449183
5601,-0.149192675948
10775,-0.226183831692
4780,-0.752388834953
10904,0.0409212857485
9917,0.825023889542
1399,0.0601333416998
24149,-0.465246230364
2222,-0.355750858784
10131,0.0824358835816
2958,-0.568863630295
9650,-0.071468308568
7319,0.0830698311329
4817,0.0617463886738
9143,-0.134056180716
10494,-0.166311636567
55324,1.05099618435
23149,0.0247198492289
9943,0.0352800786495
6599,-0.240175783634
51031,-0.204090565443
3566,0.393528103828
3815,0.172067701817
8624,0.76947915554
27346,-0.30424913764
10489,0.355637669563
26128,-0.405694067478
79921,-1.51824331284
55746,1.16621220112
23636,-0.342495918274
10892,-0.277304828167
10652,-0.575331509113
11004,0.254631996155
23530,-0.426918268204
8826,0.378545165062
3308,0.234157592058
7153,0.598831653595
11041,-0.275575131178
6342,-0.920344889164
5883,-0.512833058834
10589,-0.033363468945
5110,0.433695942163
4609,0.631829917431
5423,-0.209571391344
1070,0.114448070526
10051,-0.587719082832
6603,-0.556791543961
9019,-0.117608495057
10969,0.146223291755
9797,-0.169869661331
4043,0.328883737326
9519,1.97551214695
8480,-0.108608685434
983,-0.177457749844
10559,-0.35380846262
8508,-0.215346768498
9275,0.776817977428
8914,0.28434741497
54505,0.0226470082998
6919,-0.273356348276
2274,-0.219273358583
2288,0.322026014328
7994,-0.731816053391
4216,-0.033017642796
7538,-0.903381228447
3628,0.117872625589
2037,1.76796722412
2771,-0.504747986794
7264,-0.749233841896
1786,0.305630266666
5873,0.813280463219
780,0.323877722025
9926,0.571751356125
8446,0.411190927029
7159,0.0341458469629
1026,-0.577062368393
7082,-0.206765323877
10058,0.465192049742
10797,0.208496704698
11230,-0.640282511711
30836,0.3464615345
27336,-0.198682129383
9918,-1.00351130962
79073,0.247180357575
9688,0.52162861824
23659,0.544486165047
8396,-0.533788204193
23077,-0.169008016586
10857,-0.5456366539
16,-0.237736731768
2817,0.268998235464
60528,-0.60077881813
5359,0.114230006933
1514,0.54802775383
1509,-0.32821148634
9181,0.387421905994
3611,-0.651414573193
4783,-0.00599204003811
10123,0.226889759302
8895,-0.518759131432
9805,0.152167543769
4125,-0.508851408958
1635,0.415084302425
4154,0.0367983207107
26292,0.149771898985
5770,0.0255730450153
25874,-0.312248170376
11319,0.230121016502
1153,-0.442350685596
11098,-0.554326176643
8974,0.236157432199
533,-0.291358113289
823,-0.005870051682
6812,0.0810559689999
3693,-0.54411149025
4891,0.255536168814
10954,0.188216820359
5909,0.683331310749
9221,0.506066203117
847,-1.04143750668
11072,-0.362144947052
10221,0.642739713192
7158,0.724775671959
8678,-0.046439640224
11014,-0.874591946602
1994,0.246942400932
3482,-0.0483989864588
25976,-1.08819127083
10491,2.31677794456
51053,0.790258049965
9267,0.240844130516
5547,-0.175228983164
6597,0.553430199623
5836,0.258221507072
6118,0.599567651749
2961,0.504180788994
310,-0.0655811354518
7296,0.0736861675978
1429,-0.219015777111
2548,-0.217613130808
6499,-0.467861890793
642,-0.070740789175
23076,-0.635629355907
10099,-0.224047571421
9817,0.260096102953
9126,-0.642757534981
3930,-0.178976744413
10450,0.536722242832
54386,0.071804702282
664,-0.290297269821
596,1.26439380646
10180,0.494689702988
1445,-0.809989571571
230,0.471176624298
9246,0.599341034889
5092,-0.00178574770689
23463,-0.324571549892
10007,0.195750802755
4925,-0.567255139351
6251,0.656196832657
5782,-0.396670222282
5106,-2.23149228096
2673,-0.425054848194
644,0.240723058581
6284,-0.542159080505
4605,0.0905732214451
6810,0.384870499372
54499,-0.123601451516
11007,-0.188820317388
1643,0.257652401924
25805,0.102532655001
3033,0.702092349529
2745,-0.105738267303
9961,0.385599792004
3925,0.124873802066
2582,0.371730566025
5792,-0.268538802862
5236,-0.813976287842
4016,0.431366413832
4651,-0.985512495041
3988,-0.477498292923
26227,-1.03888463974
7982,0.170339271426
3551,0.615240633488
5108,-0.218586921692
8870,0.677351355553
2195,0.274738490582
8731,0.659391105175
1956,-0.336321949959
10276,-0.144932717085
1666,-0.701792478561
4864,-0.0868749022484
4232,-0.0693870633841
5050,-0.216229081154
813,-0.205182254314
3964,-0.45542216301
26020,-0.262024581432
481,-0.454276233912
5019,-0.413858145475
291,0.577255249023
10973,-0.0998272895813
9697,-0.478081673384
5831,-0.216076612473
8202,-0.0634947568178
57804,0.441639512777
5566,0.504982769489
57149,-0.297762840986
7416,-0.527872204781
10174,-0.162126794457
6676,0.262189149857
8884,0.732568621635
5997,-0.264188587666
57147,0.0566583126783
6909,1.10682070255
9093,-0.502548515797
23142,0.318997085094
8444,0.438813060522
11232,-0.42152300477
27095,0.228308662772
10732,0.534315109253
23029,-0.117446273565
9270,0.0693038254976
47,-0.970864355564
5889,-0.476613581181
8243,0.819883525372
10730,-0.394850671291
30,0.797193050385
7466,-0.42152005434
89910,0.798589587212
