rid,DOS007_VCAP_24H:BRD-K70681322-001-01-6:5
4088,-0.100160211325
5018,-0.610207140446
51375,-1.41432511806
55038,1.02855718136
23061,-0.104914948344
64428,-0.121273249388
11325,0.697708547115
9641,0.434548854828
23038,0.741897284985
57048,0.527552783489
94239,-0.687575280666
51203,0.317720681429
388650,-2.79214811325
23039,0.0651438906789
55179,-0.564986050129
5827,-0.311388373375
10245,-0.0868169665337
6813,0.403636038303
3251,-0.911787509918
23212,1.1839632988
23536,-0.833506822586
51282,-1.96885466576
10227,0.306422144175
50813,-0.200759887695
51024,0.437305986881
53343,0.530726313591
1465,-1.56488418579
79006,0.0465134643018
6988,-1.2407476902
11011,-0.532821774483
23325,0.462198913097
10049,-0.864018797874
3157,0.186336398125
200734,0.109507292509
9053,-1.67161381245
79094,0.263289690018
2778,-1.9713960886
54881,0.228372856975
54807,0.266891121864
323,-0.683189809322
26001,-0.600602626801
10190,-0.118405014277
9686,0.831180095673
54915,-0.426372677088
23658,0.444518387318
7750,0.880216419697
79643,1.61148691177
9488,-0.078950189054
11200,0.573974609375
65057,-0.354245752096
6832,-0.829538702965
23131,1.83343458176
10776,0.481494754553
6253,-0.471276968718
79716,0.320148199797
29978,-0.214451402426
9988,-0.707901477814
10845,1.15148758888
54957,0.214703589678
79170,-0.523423075676
10610,0.423365533352
128,-0.683367133141
51026,0.00223871320486
5498,-0.181168407202
124583,-0.0370167344809
9455,0.976064801216
1212,-1.04736483097
5255,0.168293684721
9448,-0.876267492771
9924,0.408998519182
5480,0.182145386934
1983,-0.826429247856
56889,2.0419819355
79080,-0.143231123686
9016,1.05114936829
6915,0.126596659422
9709,0.474372565746
116832,-0.16266682744
670,-2.73212957382
7867,2.40283370018
79143,-0.151948571205
11284,1.45126593113
23443,0.731441617012
51599,1.72170817852
5927,0.87461835146
55793,0.204459667206
5867,0.69934207201
7866,-0.134966388345
25825,-0.419675350189
4067,-0.0896847844124
51015,-0.364838480949
5891,0.197907581925
3300,0.531504273415
64781,-0.491413205862
51056,-0.961570978165
8550,0.130661934614
50810,-1.73481655121
23011,-0.377375870943
11168,0.0436549633741
1385,0.00847518444061
10150,0.311791956425
29763,1.52659201622
9112,0.348646223545
23499,-0.100462168455
85236,0.261544048786
5096,0.612480759621
55620,-0.45762616396
5373,-0.899021744728
