rid,CPC012_A375_6H:BRD-K29003210-001-06-9:10,CPC012_A549_6H:BRD-K29003210-001-06-9:10,CPC012_A549_24H:BRD-K29003210-001-06-9:10,CPC012_ASC_24H:BRD-K29003210-001-06-9:10,CPC012_HA1E_6H:BRD-K29003210-001-06-9:10,CPC012_HCC515_6H:BRD-K29003210-001-06-9:10,CPC012_HT29_6H:BRD-K29003210-001-06-9:10,CPC012_MCF7_6H:BRD-K29003210-001-06-9:10,CPC012_MCF7_24H:BRD-K29003210-001-06-9:10,CPC012_NEU_24H:BRD-K29003210-001-06-9:10,CPC012_NPC_24H:BRD-K29003210-001-06-9:10,CPC012_PC3_6H:BRD-K29003210-001-06-9:10,CPC012_PC3_24H:BRD-K29003210-001-06-9:10,CPC012_PHH_24H:BRD-K29003210-001-06-9:10,CPC012_SKB_24H:BRD-K29003210-001-06-9:10,CPC012_VCAP_6H:BRD-K29003210-001-06-9:10,CPC012_VCAP_24H:BRD-K29003210-001-06-9:10
23512,-0.262415856123,0.300019353628,0.997950017452,0.231422573328,-0.4452714324,-0.530846476555,-0.210984289646,0.985807597637,-0.765431702137,0.521268129349,-0.0625234246254,0.754768788815,0.00402726233006,0.0682709142566,-0.29493612051,0.25156262517,-0.982672572136
148022,-0.38228058815,1.96320652962,0.334250003099,0.950233161449,-0.636330604553,-0.176065206528,0.0404717102647,0.390605926514,0.533912718296,-0.611235260963,0.82223880291,0.185513436794,3.65573477745,1.45643663406,1.40467405319,0.31617629528,-0.406475156546
1906,3.71378016472,0.526889920235,-0.904550015926,-1.56907618046,1.90594768524,0.227405011654,0.987423956394,0.294805914164,1.05626475811,-0.116948641837,1.03543174267,2.23911571503,0.993693828583,-0.880396068096,-1.04454517365,-0.157295778394,1.48332512379
8878,-1.4551640749,0.332840234041,0.58360004425,4.89095544815,-0.584531545639,2.97142744064,3.97846293449,2.46387648582,1.10343563557,-0.23363943398,-1.02281951904,2.13479971886,4.79803562164,0.00135066488292,0.412840723991,1.0094717741,-0.233479648829
3091,1.7401624918,-1.31240391731,0.110150001943,0.273075401783,0.778164625168,-1.41267156601,-0.271714270115,0.409779757261,-0.0449003465474,-0.277431547642,0.10013794899,-1.16208744049,0.415089070797,1.04677915573,-1.67061281204,-1.10806453228,-0.0949262678623
5743,1.11608791351,3.32153940201,0.542150020599,-0.564951300621,0.352093547583,0.96560716629,-0.292008221149,1.70087957382,0.401533961296,-0.0249023735523,0.11088873446,-1.11633098125,-0.521650791168,-0.63781440258,2.99536180496,-0.0960271805525,0.334813147783
5321,2.85525655746,0.0184618532658,-0.645349979401,-1.01256120205,1.06079149246,0.955296993256,0.0287675280124,0.845932483673,0.719959259033,0.00160040031187,0.858628749847,-0.0164902806282,0.257683873177,-1.32678461075,-0.93442606926,-0.338785737753,-0.0378459207714
4144,-3.02050876617,-1.19068074226,-2.12855005264,-0.16457220912,-0.867226481438,-3.15100502968,-2.04302239418,-0.628776788712,0.867136597633,0.511675596237,1.24463224411,-4.50344133377,1.26356291771,0.850019216537,-1.13249719143,-0.476417928934,-1.01643300056
1981,1.82987141609,-0.343117028475,0.727849960327,2.15229153633,0.0624508857727,0.208267211914,-0.360101819038,-0.311131298542,-0.30156993866,1.42760145664,0.632289350033,1.03525340557,0.544149577618,-0.199230670929,-0.0900698006153,-0.00246604532003,0.275047212839
695,0.616611361504,3.63839221001,-0.185500010848,0.28540751338,0.751891553402,-0.104021430016,1.29982173443,-0.34108325839,1.26020252705,0.705332159996,0.403861671686,0.30672544241,0.85829603672,-0.603714168072,0.241494357586,1.45969963074,1.40971910954
