rid,DOS023_VCAP_6H:BRD-K53808186-001-01-1:5.16,DOS023_VCAP_24H:BRD-K53808186-001-01-1:5.16,DOS052_A375_24H:BRD-K53808186-001-01-1:5.16,DOS052_A549_24H:BRD-K53808186-001-01-1:5.16,DOS052_HT29_24H:BRD-K53808186-001-01-1:5.16,DOS052_MCF7_24H:BRD-K53808186-001-01-1:5.16,DOSBIO001_A375_24H:BRD-K53808186:10.3279,DOSBIO001_A549_24H:BRD-K53808186:10.3279,DOSBIO001_HT29_24H:BRD-K53808186:10.3279,DOSBIO001_MCF7_24H:BRD-K53808186:10.3279,DOSBIO001_PC3_24H:BRD-K53808186:10.3279,DOSBIO001_NEU_24H:BRD-K53808186:10.3279,DOSBIO001_NPC_24H:BRD-K53808186:10.3279
595,0.0671798586845,-0.0878999978304,-1.25800001621,0.943099975586,-0.49274995923,-0.00659999251366,0.80880510807,0.28289359808,0.730529308319,0.524601995945,0.301832437515,0.292699992657,-0.913856208324
4793,1.29466795921,4.77559995651,1.59800004959,1.81570005417,0.116849988699,0.779250025749,-0.0632583424449,4.41380977631,0.0985793471336,0.357522010803,0.00149329006672,0.223300009966,0.0140775442123
2736,-0.663224101067,-0.317299991846,3.1318500042,2.39240002632,-0.378949999809,0.488900005817,-0.803467273712,-0.0997710824013,-0.779042720795,-0.9613956213,-0.345513999462,0.29935002327,0.164176791906
5290,0.719708561897,0.581849992275,2.55865001678,1.23765003681,0.846650004387,0.666150033474,-0.722415685654,-0.250437825918,-0.605719983578,-1.12409067154,0.108256116509,-0.0801499783993,1.9751367569
6194,-0.472682058811,0.0,-0.00034999998752,-0.00304999994114,0.0,-0.00034999998752,0.0513650476933,-1.03629827499,-0.204926028848,-0.279725492001,0.423704266548,0.334250003099,0.361272126436
1676,-0.59494125843,-3.24609994888,0.656849980354,1.64704990387,-0.0994999855757,1.6900498867,-0.260126084089,1.35611498356,-0.224154293537,-0.483627319336,-0.0621575713158,-0.824050009251,0.827477693558
23512,-1.01877534389,0.142650008202,-1.19269990921,-0.761449992657,-0.3492000103,0.796900033951,-0.423554182053,-0.0194890834391,-0.0312496125698,-0.074733003974,-0.714177846909,-0.127349987626,0.0817437022924
148022,0.224093347788,0.224399998784,-0.191449999809,0.124449968338,0.428549975157,-0.351000010967,0.173463374376,-0.0755224972963,0.224330469966,-0.740026772022,0.127741143107,-0.486699998379,-1.14622914791
1906,0.192463904619,-0.694199979305,-0.307900011539,-6.16310024261,0.441349983215,1.26179993153,-0.850341796875,0.814246594906,0.368872284889,-0.549118161201,-0.44689065218,-0.667450010777,0.820241510868
8878,-0.656889677048,0.53869998455,-0.842650055885,-0.629049956799,0.0708500146866,0.778299987316,0.354075402021,0.519601225853,1.848346591,0.707429766655,-0.103400811553,0.413700014353,-0.306671738625
3091,-0.297881990671,-0.919100046158,-0.796200037003,0.115699999034,-0.351300030947,0.0331500172615,0.7114341259,-0.199586898088,-0.647602200508,-1.91503107548,0.358551323414,-0.709300041199,0.997599363327
5743,0.731590509415,4.76964998245,0.537050008774,0.492049992085,-0.504000008106,0.679350018501,0.204204171896,0.184728562832,-0.126463860273,-0.0805216133595,-0.554109990597,0.480899989605,-0.143695950508
5321,0.593525886536,-0.0171499997377,-5.22760009766,-0.441550016403,-0.402749985456,-0.153999984264,-0.430055737495,-1.23976314068,-1.34134244919,-0.85216319561,0.159399986267,-0.503250002861,0.117628201842
