rid,CPC011_A375_6H:BRD-K06878038-001-13-7:10,CPC011_A549_6H:BRD-K06878038-001-13-7:10,CPC011_A549_24H:BRD-K06878038-001-13-7:10,CPC011_HA1E_6H:BRD-K06878038-001-13-7:10,CPC011_HT29_6H:BRD-K06878038-001-13-7:10,CPC011_MCF7_6H:BRD-K06878038-001-13-7:10,CPC011_MCF7_24H:BRD-K06878038-001-13-7:10,CPC011_PC3_6H:BRD-K06878038-001-13-7:10,CPC011_PC3_24H:BRD-K06878038-001-13-7:10,CPC011_VCAP_6H:BRD-K06878038-001-13-7:10,CPC011_VCAP_24H:BRD-K06878038-001-13-7:10
7043,-0.373761713505,-0.410923838615,0.649521410465,-0.592800021172,-0.439734011889,-0.511950016022,0.590200006962,-0.350906997919,0.278724968433,0.416810810566,0.809622168541
5613,-0.642027378082,-0.939775407314,0.191726446152,-0.602400064468,-0.372558921576,-0.0710999965668,0.187949985266,-0.591642439365,-0.148875012994,0.0100991353393,0.458966761827
595,-0.233960568905,0.36343601346,1.11739373207,0.29439997673,0.212329894304,-0.319800019264,0.464850008488,-0.11135930568,0.628250002861,0.279257923365,-0.179944753647
4793,0.0440926998854,0.546953737736,-0.622117459774,-1.24914991856,-0.252185642719,-1.35424995422,-0.141600012779,0.831581830978,0.477499961853,0.626081585884,0.12851279974
2736,-0.177621975541,-0.462669193745,-0.361072421074,0.652899980545,-0.385515570641,-0.0358499959111,-0.223099991679,0.0211202651262,0.126524999738,0.646991610527,-0.433572024107
5290,0.215939670801,-0.311902672052,-0.604061722755,0.0721999704838,-0.889374554157,0.271400004625,0.785399913788,-0.574391245842,-0.224775016308,-0.64879822731,-0.359024614096
6194,0.0,0.000415920687374,0.570619881153,0.0,0.0,0.470450013876,-0.673900008202,0.514258623123,0.251774996519,-0.0432245954871,0.495434552431
1676,0.116478651762,-0.438699632883,0.162984326482,-0.421800017357,-0.194430291653,0.551499962807,0.43180000782,-0.785001575947,0.226424992085,-0.657204031944,0.151283115149
23512,-0.487343907356,-0.263267874718,-0.0173596870154,-0.66320002079,0.613574802876,-1.09685003757,0.180999979377,-0.885036051273,0.590250015259,-0.117577344179,-0.121909424663
148022,0.0574404001236,-0.437273949385,-0.171897500753,-0.331700026989,-0.267869442701,-0.125750005245,0.102949999273,-0.345731794834,-0.579249978065,-0.222005426884,0.773275852203
1906,0.244291573763,-0.314391642809,-1.35548424721,-1.64604997635,-0.659570038319,-0.126000002027,-0.157249987125,-0.548117101192,0.791174948215,1.10959136486,0.11519151926
8878,-0.0734592378139,-0.487361758947,0.886686086655,-2.12029981613,-0.23387850821,-0.719200015068,-0.289349973202,-0.0419211536646,-0.471574991941,-0.339337289333,-0.420473396778
3091,-0.16595891118,0.142934843898,-0.36224886775,-0.675350010395,-0.425449997187,0.300700008869,-0.0833999961615,0.3783878088,-0.907349944115,-0.0121385660022,0.407687664032
5743,0.0297952443361,1.25931930542,1.03329360485,-0.824550032616,-0.182649239898,0.447899997234,-0.547749996185,-0.202730804682,-0.00634998083115,-0.0117861181498,-0.387969315052
