rid,DOS024_VCAP_6H:BRD-K09068728-001-01-2:5,DOS024_VCAP_24H:BRD-K09068728-001-01-2:5,DOS053_A375_24H:BRD-K09068728-001-01-2:5,DOS053_A549_24H:BRD-K09068728-001-01-2:5,DOS053_MCF7_24H:BRD-K09068728-001-01-2:5,DOS053_PC3_24H:BRD-K09068728-001-01-2:5,DOSBIO001_A375_24H:BRD-K09068728:10,DOSBIO001_A549_24H:BRD-K09068728:10,DOSBIO001_HT29_24H:BRD-K09068728:10,DOSBIO001_MCF7_24H:BRD-K09068728:10,DOSBIO001_PC3_24H:BRD-K09068728:10,DOSBIO001_NEU_24H:BRD-K09068728:10,DOSBIO001_NPC_24H:BRD-K09068728:10
2736,-1.43190002441,-0.430101633072,-1.59665000439,-0.571949958801,-0.69730001688,-0.324449986219,0.594871222973,-0.487531870604,0.187922164798,-0.00505466014147,0.00863260030746,-0.105150043964,0.0305133275688
5290,-0.398099988699,0.111288711429,0.543550014496,0.373300015926,-0.0256999991834,-0.534749984741,-0.0649583935738,1.0260630846,1.32366085052,0.604931354523,-0.244245439768,-1.1752499342,-0.365892648697
6194,0.241200000048,0.556746840477,0.145899996161,0.337599992752,-0.000699999975041,-0.522400021553,-0.556908786297,0.198083639145,0.754425525665,-0.271883040667,1.33631324768,-2.4916498661,-0.336016595364
1676,-0.610000014305,-0.112068012357,-0.412800014019,-0.0275500118732,1.33480000496,-0.223800003529,0.674621880054,1.55983352661,-0.506739497185,0.111638501287,-0.304087460041,-0.304150015116,-0.203295648098
23512,0.055799998343,-1.11669874191,-0.604449987411,-2.0530500412,0.0637999996543,0.0188500005752,-0.996862530708,-0.226164579391,-0.70703458786,-0.328624069691,-1.07569980621,-0.172100007534,-0.3894328475
148022,0.0662000030279,-0.321769535542,-0.791400015354,-0.189150035381,-0.496199995279,-1.33060002327,1.43121302128,0.126853853464,2.83714723587,0.87269538641,0.690810859203,0.101350009441,-0.267425775528
1906,-1.24979996681,-0.740921378136,0.453050017357,-0.713949978352,1.49940001965,1.36564993858,0.277942150831,1.1143335104,0.161401480436,0.349317729473,-0.684044718742,-0.398850023746,0.548450887203
8878,0.0,-0.0132697820663,-0.620750010014,-0.0556499958038,-0.192499995232,0.224899977446,-0.113810688257,-0.710899829865,-0.565942168236,0.371445178986,0.249653279781,0.0963999629021,0.86850476265
3091,-3.23119997978,-1.54315161705,0.727750003338,-0.913900017738,0.674499988556,-0.0167999863625,-3.15845632553,0.0123353525996,-1.5359159708,-0.261657178402,-0.379173725843,-1.00370001793,-0.319708526134
5743,-0.843900024891,-0.428705811501,0.0114500075579,0.268750011921,0.101300001144,2.97914981842,-0.633917987347,0.00708466768265,0.0386267900467,0.000760614871979,-0.8052059412,0.580200016499,-0.424999713898
5321,-3.39330005646,-1.37879574299,0.119850002229,-1.04100000858,-0.461400002241,-0.33449998498,-0.373792171478,0.916721224785,0.312602102757,0.0384758710861,0.0152483135462,-1.49180006981,-1.04421520233
