rid,CPC012_A375_6H:BRD-A55565369-001-01-6:10,CPC012_A549_6H:BRD-A55565369-001-01-6:10,CPC012_A549_24H:BRD-A55565369-001-01-6:10,CPC012_ASC_24H:BRD-A55565369-001-01-6:10,CPC012_HA1E_6H:BRD-A55565369-001-01-6:10,CPC012_HCC515_6H:BRD-A55565369-001-01-6:10,CPC012_HT29_6H:BRD-A55565369-001-01-6:10,CPC012_MCF7_6H:BRD-A55565369-001-01-6:10,CPC012_MCF7_24H:BRD-A55565369-001-01-6:10,CPC012_NEU_24H:BRD-A55565369-001-01-6:10,CPC012_NPC_24H:BRD-A55565369-001-01-6:10,CPC012_PC3_6H:BRD-A55565369-001-01-6:10,CPC012_PC3_24H:BRD-A55565369-001-01-6:10,CPC012_PHH_24H:BRD-A55565369-001-01-6:10,CPC012_SKB_24H:BRD-A55565369-001-01-6:10,CPC012_VCAP_6H:BRD-A55565369-001-01-6:10,CPC012_VCAP_24H:BRD-A55565369-001-01-6:10
1981,0.297862768173,0.118370980024,-0.469399988651,0.711298108101,-0.514673233032,0.844830691814,-0.361819595098,0.389511138201,0.48618850112,-0.653299987316,0.406795144081,-0.317883729935,0.191490113735,-1.18883919716,0.282414734364,0.934723377228,-0.476390689611
695,0.0963709801435,-0.364604532719,0.634550035,-0.70599758625,0.222651094198,0.259178161621,0.366076916456,-0.319763481617,-0.0425462722778,0.544499993324,1.38255310059,1.44845235348,-0.119895517826,0.195819616318,-0.0418180003762,-0.0806668698788,0.287722706795
10398,0.155545264482,0.828473448753,-0.63330000639,1.45893025398,-1.66245341301,-1.06224954128,0.414989888668,0.00916683208197,0.938453197479,0.429800003767,1.37125122547,-0.424051493406,-0.332317471504,-0.428992331028,0.251815348864,-1.0128467083,-0.966745257378
5708,1.01021516323,0.0537769049406,-2.40570020676,1.29897534847,-4.79463624954,0.342993915081,-2.14037895203,-0.935238838196,0.612600564957,-0.388999998569,0.232058078051,0.163173228502,-0.454839169979,-0.10685184598,1.01850402355,0.753692805767,-0.663247942924
1213,-0.276308745146,-0.0354742407799,-5.62029981613,-0.481242954731,-0.676814556122,-1.63253867626,-0.446518748999,0.5221093297,-1.06232082844,0.199499994516,-0.00790467858315,0.280917048454,0.175129592419,1.17866611481,0.585148692131,-0.190220847726,1.3829458952
226,-0.0613880828023,-0.588643610477,-0.668700039387,0.0734492838383,-0.381957799196,-0.52638822794,-0.898135602474,-0.778958559036,-0.426165133715,1.39330005646,0.460371464491,-0.0960532128811,0.745417296886,1.06704628468,0.764339506626,-0.513388395309,0.100795283914
6777,-0.127985343337,0.0880554914474,0.998549997807,-0.354534894228,-0.644597530365,0.0868899971247,-0.272043883801,0.163049712777,0.840792894363,-0.190200001001,0.691317021847,-0.392532587051,0.51524490118,0.403142750263,-0.171874880791,0.535136699677,0.346962600946
2113,-0.496063292027,-0.0814006924629,-0.717399954796,0.593436300755,-0.143643826246,-0.919753849506,-1.06528770924,-0.166190579534,1.42945504189,-0.0329000018537,1.19354879856,0.0798392593861,-1.27480196953,-1.30540561676,-0.178723052144,-0.601547539234,-0.434547394514
3329,-0.424040019512,-0.912806808949,-0.172399997711,0.0656749308109,-0.135365217924,0.399587869644,-0.493895500898,-0.419878572226,-1.04786455631,1.0420999527,-0.0328435003757,0.111240237951,0.964892983437,0.389351576567,0.235382899642,-0.00370019674301,0.389555484056
1050,-0.0960217937827,-0.426825344563,0.101750008762,0.694616734982,-2.64437198639,0.56933093071,-0.975741386414,-0.500141620636,-0.660488426685,-0.674499988556,0.141175925732,-1.01726460457,-0.286213964224,0.706070303917,-0.179869920015,-0.0767208561301,0.448799669743
